upgrade_id,vendor_code,package,severity,pr_opened,due,state,days_overdue
UPG-3301,VEN-0412,nw-auth-sdk,high,,2026-01-16,not started,27
UPG-3302,VEN-0412,nw-auth-cli,high,2026-01-09,2026-01-16,merged,0
UPG-3310,VEN-0877,stream-bridge,critical,2026-01-20,2026-01-30,in review,0
UPG-3311,VEN-0877,stream-bridge-admin,high,2026-01-12,2026-01-30,merged,0
UPG-3325,VEN-1103,vaultline,critical,2026-01-28,2026-02-06,in review,0
UPG-3326,VEN-1103,vaultline-agent,high,,2026-01-23,not started,20
UPG-3340,VEN-0704,render-grid,critical,,2026-01-09,not started,34
UPG-3341,VEN-0704,render-grid-virtual,high,2026-02-02,2026-01-09,rejected,34
UPG-3355,VEN-0233,chart-kit,critical,2026-01-30,2026-02-13,in review,0
UPG-3360,VEN-0641,formkit,high,2026-01-14,2026-01-23,merged,0
